sku,name,description,category,quantity,price
CLO0001,Socks Deluxe,This is a socks for clothing,Clothing,29,18.86
TOY0002,LEGO Set Premium,This is a lego set for toys,Toys,58,40.74
HOM0003,Knife Set Pro,This is a knife set for Home and Kitchen,Home and Kitchen,75,225.62
CLO0004,Sweater Pro,This is a sweater for clothing,Clothing,28,197.92
ELE0005,Headphones Premium,This is a headphones for electronics,Electronics,6,529.3
TOY0006,LEGO Set Premium,This is a lego set for toys,Toys,57,17.62
HOM0007,Cookware Basic,This is a cookware for Home and Kitchen,Home and Kitchen,59,116.95
TOY0008,Puzzle Premium,This is a puzzle for toys,Toys,12,52.4
SPO0009,Dumbbell Pro,This is a dumbbell for sports,Sports,45,88.21
TOY0010,Puzzle Deluxe,This is a puzzle for toys,Toys,98,73.81
TOY0011,LEGO Set Pro,This is a lego set for toys,Toys,0,82.17
HOM0012,Knife Set Standard,This is a knife set for Home and Kitchen,Home and Kitchen,9,70.34
HOM0013,Knife Set Standard,This is a knife set for Home and Kitchen,Home and Kitchen,75,46.97
TOY0014,Puzzle Basic,This is a puzzle for toys,Toys,5,93.48
CLO0015,Sweater Pro,This is a sweater for clothing,Clothing,87,157.36
TOY0016,Action Figure Pro,This is a action figure for toys,Toys,24,47.39
ELE0017,Tablet Premium,This is a tablet for electronics,Electronics,59,647.72
SPO0018,Running Shoes Basic,This is a running shoes for sports,Sports,97,95.78
BOO0019,Biography Deluxe,This is a biography for books,Books,60,13.36
ELE0020,Smartphone Basic,This is a smartphone for electronics,Electronics,1,312.88
BOO0021,Novel Pro,This is a novel for books,Books,80,28.44
TOY0022,Board Game Standard,This is a board game for toys,Toys,69,13.38
CLO0023,Socks Deluxe,This is a socks for clothing,Clothing,84,199.47
CLO0024,Socks Deluxe,This is a socks for clothing,Clothing,23,179.73
ELE0025,Tablet Premium,This is a tablet for electronics,Electronics,40,522.45
TOY0026,LEGO Set Basic,This is a lego set for toys,Toys,66,47.38
TOY0027,Doll Premium,This is a doll for toys,Toys,30,55.38
CLO0028,Jacket Standard,This is a jacket for clothing,Clothing,39,34.59
TOY0029,Action Figure Pro,This is a action figure for toys,Toys,100,33.03
SPO0030,Basketball Standard,This is a basketball for sports,Sports,28,132.81
HOM0031,Cookware Deluxe,This is a cookware for Home and Kitchen,Home and Kitchen,23,177.58
CLO0032,Sweater Premium,This is a sweater for clothing,Clothing,48,156.31
CLO0033,Sweater Premium,This is a sweater for clothing,Clothing,9,185.58
CLO0034,Sweater Pro,This is a sweater for clothing,Clothing,25,22.9
SPO0035,Dumbbell Standard,This is a dumbbell for sports,Sports,55,95.57
HOM0036,Toaster Pro,This is a toaster for Home and Kitchen,Home and Kitchen,90,117.73
CLO0037,Socks Premium,This is a socks for clothing,Clothing,2,95.99
CLO0038,Jeans Standard,This is a jeans for clothing,Clothing,43,157.64
SPO0039,Tennis Racket Deluxe,This is a tennis racket for sports,Sports,27,55.82
TOY0040,Puzzle Pro,This is a puzzle for toys,Toys,24,87.28
ELE0041,Smartphone Basic,This is a smartphone for electronics,Electronics,35,756.9
TOY0042,LEGO Set Basic,This is a lego set for toys,Toys,87,34.86
BOO0043,Self-help Standard,This is a self-help for books,Books,29,24.98
CLO0044,Jeans Standard,This is a jeans for clothing,Clothing,83,41.86
ELE0045,Camera Pro,This is a camera for electronics,Electronics,17,1471.55
TOY0046,Puzzle Standard,This is a puzzle for toys,Toys,75,41.26
TOY0047,Puzzle Basic,This is a puzzle for toys,Toys,61,56.34
SPO0048,Basketball Basic,This is a basketball for sports,Sports,62,38.43
TOY0049,Action Figure Deluxe,This is a action figure for toys,Toys,15,61.71
ELE0050,Camera Basic,This is a camera for electronics,Electronics,8,420.61
TOY0051,Action Figure Deluxe,This is a action figure for toys,Toys,40,19.01
TOY0052,Doll Standard,This is a doll for toys,Toys,33,39.84
BOO0053,Biography Basic,This is a biography for books,Books,65,19.73
BOO0054,Biography Pro,This is a biography for books,Books,6,20.59
HOM0055,Blender Deluxe,This is a blender for Home and Kitchen,Home and Kitchen,71,38.74
HOM0056,Toaster Premium,This is a toaster for Home and Kitchen,Home and Kitchen,87,191.84
SPO0057,Dumbbell Deluxe,This is a dumbbell for sports,Sports,70,57.09
ELE0058,Tablet Standard,This is a tablet for electronics,Electronics,9,1812.82
ELE0059,Smartphone Pro,This is a smartphone for electronics,Electronics,89,1552.35
TOY0060,Doll Pro,This is a doll for toys,Toys,5,22.61
TOY0061,Doll Premium,This is a doll for toys,Toys,47,90.83
TOY0062,LEGO Set Premium,This is a lego set for toys,Toys,92,86.72
BOO0063,Novel Standard,This is a novel for books,Books,76,37.08
CLO0064,Jeans Standard,This is a jeans for clothing,Clothing,17,79.14
BOO0065,Textbook Basic,This is a textbook for books,Books,54,16.21
SPO0066,Basketball Pro,This is a basketball for sports,Sports,35,29.08
ELE0067,Laptop Deluxe,This is a laptop for electronics,Electronics,0,225.13
CLO0068,Socks Premium,This is a socks for clothing,Clothing,89,50.5
SPO0069,Dumbbell Premium,This is a dumbbell for sports,Sports,40,61.05
ELE0070,Smartphone Deluxe,This is a smartphone for electronics,Electronics,75,982.74
CLO0071,T-shirt Pro,This is a t-shirt for clothing,Clothing,55,147.53
HOM0072,Coffee Maker Basic,This is a coffee maker for Home and Kitchen,Home and Kitchen,89,265.03
SPO0073,Yoga Mat Basic,This is a yoga mat for sports,Sports,10,18.98
HOM0074,Toaster Standard,This is a toaster for Home and Kitchen,Home and Kitchen,35,110.57
TOY0075,Puzzle Pro,This is a puzzle for toys,Toys,47,13.53
SPO0076,Basketball Premium,This is a basketball for sports,Sports,24,96.34
BOO0077,Self-help Premium,This is a self-help for books,Books,46,41.86
CLO0078,Socks Pro,This is a socks for clothing,Clothing,50,102.21
TOY0079,Board Game Premium,This is a board game for toys,Toys,85,54.32
TOY0080,Action Figure Deluxe,This is a action figure for toys,Toys,96,77.02
